#sample_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30
0,1.06,1.0981615798398918,1.0731814441540133,0.4835782465065583,0.33960319764745506,0.3638413258636939,0.0898704542300805,0.7901553177621272,25.6583333333,-0.0783581869013134,0.0786497662903185,0.3849072986932015,9.105,-0.6942740002272151,-0.6152209893309162,3.5307480878201836,-0.512720549448664,-0.3317470360622264,2.9779844371501314,0.0393536310971745,2.0,0.0,0.9480219285409559,2.0,1.1125758931239162,0.1895816571265843,667.86,1.6730769230769231,-0.00023776867999999998,0.1334011409553094,0.9462119000000001
1,1.18,0.5417170918969985,0.7686980904146665,0.6667170918969985,-1.1480190014823322,0.7653390664004334,0.3503741112951253,0.8867994343470745,23.26,0.7582089472844729,0.23559306591873705,0.5089059448896716,9.105,-0.7523749319065174,-0.5576788905248017,2.5918889345735483,-0.5554104934814825,0.0875740644364049,2.3910628057398498,0.0232707146162539,9.0,0.0,0.7547081914821279,1.22,0.5586238759488263,1.3586487631118502,2073.2,0.1730769230769233,0.00013037323,0.473490553286974,0.7855281999999999
2,0.98,1.5907637371189929,1.1965191720462407,0.8303470704523261,-0.6338278984060854,0.5018777825482562,0.388861556032747,0.8300863010110207,23.845,0.6716418130986864,0.3196739340303822,0.3643071327019391,9.105,-0.7871033379617263,-0.053143577735899,3.424049847253728,-0.5938979382191042,-0.3141539643757033,3.5710506685838213,0.0247503929903887,5.0,0.0,0.8025351530064133,1.78,1.6400726411522641,0.1895816571265843,489.6,1.2500000000000002,-0.0002594259,0.3358631692475011,0.6659435
3,1.3000000000000005,1.4862599594133252,1.5526744993336803,0.8091766260799917,0.4934978732536884,-0.1881056755463993,1.2452447358535512,0.7896714914054881,11.335,-0.1156716373802626,0.1035630259709087,0.354419998411192,9.105,-0.0444497315503282,0.2268728675882532,2.828690983305496,0.2291412646315717,0.1470608992245972,2.1257282064836707,0.0575539588161377,4.0,0.0,0.823419247848471,1.9,1.6352676941587276,-0.3477317933523647,1633.5,1.4807692307692306,0.0421073,-0.223562151801998,0.18849415
4,1.48,1.7220416097881932,1.5471284876303846,1.9616249431215265,-0.4144964554911421,0.1048224124348718,-0.0824040466786642,0.9485373467563132,17.896874999999994,0.1343283626197372,-0.0709585077773361,0.2931861122970264,7.889999999999999,-0.2943659880826562,-0.0783549115239155,2.5640142104178105,0.016995783145494,-0.4854549632684781,1.6929205110114554,0.0110843735437302,5.0,0.0,0.7120065346125133,1.57,1.7713505138214636,-0.3477317933523647,1505.2,0.8461538461538466,0.00036683212999999996,-0.0890224859940652,0.6804806999999999
5,0.8600000000000001,2.031410762887753,1.6904912584326424,1.1355774295544194,-0.695086171121777,0.3964029202336462,1.2404566593306392,0.8054135578537396,14.09,0.9917910527155273,0.2244241354501137,0.3200379974516995,9.105,0.0008093796583439,0.4632662302021112,3.3635915679795785,0.2566975526435848,0.0793379643283368,2.8688765374961602,0.0308551403071124,8.0,0.0,0.7778349399090954,1.33,2.232760383757024,1.0663975457156474,2074.5,0.384615384615385,0.0021763857999999997,0.3687929393138625,0.21454144
6,1.1,0.5800902765306487,1.2382049898817058,0.2467569431973155,0.4914480466843903,0.5535917969534169,0.21196186931523492,0.8243682743167265,5.66375,0.2067164329071067,-0.0774396880853947,0.4577196230408318,9.105,0.3290380618661813,0.8577108409541271,2.813652257337202,0.6390708497192462,-0.0359916414010044,1.9949781346192943,0.0495009570787786,4.0,0.0,0.8856203657591429,1.83,0.5870271775112634,0.627989601421116,1756.2,1.3461538461538465,0.023903096000000002,0.306380092956721,0.40244415
7,1.6,0.9323494903167884,1.5998362466862568,1.6719328236501214,0.1779034230361351,-0.8627097797792702,1.1642519994699043,0.7897048379277024,20.1383333333,0.1343283626197372,0.4888280071107101,0.6802312664886937,9.105,0.1067221434531601,-0.3523028677489185,3.8443689451098337,0.3237454976965233,0.4667314301468456,3.367208210975871,0.0585783017560958,5.0,0.0,0.8243836078393639,0.9300000000000002,0.9218390959227796,-0.3477317933523647,522.2,-0.3846153846153843,0.031143282999999997,-0.9420212669914244,0.36232227
8,1.1200000000000003,0.8956130507353414,1.767244794933794,0.5831130507353415,0.6841317441984528,0.1893746880471258,3.0715511943087046,0.8455926019043065,24.18,0.4216418130986862,0.3748404872036202,0.3287009516430603,9.105,-0.8069905448480432,-0.1180061680869305,3.6010613942553302,-0.6159377570004764,0.4089722314020727,2.7239807067882835,0.0540637346555031,4.0,0.0,0.8507421119024059,1.96,0.8975650101803491,0.1895816571265843,1156.6,1.5961538461538465,0.0012873722,-0.0308802305364913,0.26502755
9,1.3200000000000005,1.7942949489022313,1.6766685764963676,0.7526282822355644,1.1740402942608037,-0.11756419622420501,3.3103974890504926,0.8594805456164673,6.878750000000001,-0.3305970175718424,0.1932273145700557,0.3962107449434116,7.889999999999999,0.2200946436351865,0.5999872624057507,2.8360680138440117,0.60225565944907,0.5172676088308592,1.8490345220397848,0.0437020832248328,4.0,0.0,0.7043287659519082,1.57,1.684731455869542,0.0906761509421667,1747.95,0.8461538461538466,0.00038949458,0.2757874558934465,0.032650076
