--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
------------------------------------------------------------ --------------- --------------- ------------------------------
coGN_ReadoutComponent1_Feature62_fold0                       0.004718        0.527801        Yes                           
coGN_ReadoutComponent2_Feature1_fold0                        0.004220        -0.437798       Yes                           
coGN_ReadoutComponent5_Feature7_fold0                        0.004168        0.000000        No                            
coGN_ReadoutComponent1_Feature73_fold0                       0.004163        -0.615620       Yes                           
coGN_ReadoutComponent1_Feature117_fold0                      0.003808        0.569910        Yes                           
coGN_ReadoutComponent1_Feature71_fold0                       0.003441        0.308392        Yes                           
coGN_ReadoutComponent1_Feature3_fold0                        0.003255        0.422768        Yes                           
coGN_ReadoutComponent2_Feature47_fold0                       0.003209        0.414152        Yes                           
coGN_ReadoutComponent4_Feature62_fold0                       0.003206        0.000000        No                            
coGN_ReadoutComponent3_Feature47_fold0                       0.003173        0.424151        Yes                           
coGN_ReadoutComponent5_Feature2_fold0                        0.003105        0.000000        No                            
coGN_ReadoutComponent2_Feature71_fold0                       0.003012        0.440494        Yes                           
coGN_ReadoutComponent2_Feature86_fold0                       0.002920        0.429145        Yes                           
coGN_ReadoutComponent2_Feature97_fold0                       0.002847        0.162113        Yes                           
coGN_ReadoutComponent1_Feature1_fold0                        0.002796        -0.387461       Yes                           
coGN_ReadoutComponent1_Feature47_fold0                       0.002767        0.243370        Yes                           
coGN_ReadoutComponent5_Feature54_fold0                       0.002743        0.000000        No                            
coGN_ReadoutComponent2_Feature73_fold0                       0.002701        -0.391781       Yes                           
coGN_ReadoutComponent2_Feature8_fold0                        0.002683        0.187141        Yes                           
coGN_ReadoutComponent2_Feature87_fold0                       0.002642        0.339108        Yes                           
coGN_ReadoutComponent3_Feature62_fold0                       0.002616        0.587763        Yes                           
ORB_v3_layer_1_162                                           0.002416        -0.213239       Yes                           
coGN_ReadoutComponent1_Feature86_fold0                       0.002350        0.465851        Yes                           
coGN_ReadoutComponent2_Feature113_fold0                      0.002337        -0.202551       Yes                           
coGN_ReadoutComponent5_Feature95_fold0                       0.002251        0.000000        No                            
coGN_ReadoutComponent2_Feature115_fold0                      0.002225        0.268739        Yes                           
coGN_ReadoutComponent2_Feature121_fold0                      0.002182        0.244511        Yes                           
coGN_ReadoutComponent4_Feature43_fold0                       0.002157        0.000000        No                            
coGN_ReadoutComponent1_Feature77_fold0                       0.002095        0.364749        Yes                           
coGN_ReadoutComponent2_Feature79_fold0                       0.002086        -0.379185       Yes                           
coGN_ReadoutComponent1_Feature115_fold0                      0.002074        0.206810        Yes                           
coGN_ReadoutComponent4_Feature77_fold0                       0.002072        0.000000        No                            
coGN_ReadoutComponent3_Feature71_fold0                       0.002067        0.271220        Yes                           
coGN_ReadoutComponent3_Feature73_fold0                       0.002024        -0.460513       Yes                           
coGN_ReadoutComponent2_Feature125_fold0                      0.002012        0.177204        Yes                           
coGN_ReadoutComponent4_Feature71_fold0                       0.002000        0.000000        No                            
coGN_ReadoutComponent1_Feature34_fold0                       0.001990        0.224014        Yes                           
coGN_ReadoutComponent1_Feature121_fold0                      0.001985        0.368748        Yes                           
coGN_ReadoutComponent4_Feature40_fold0                       0.001979        0.000000        No                            
coGN_ReadoutComponent1_Feature109_fold0                      0.001961        -0.175597       Yes                           
coGN_ReadoutComponent2_Feature104_fold0                      0.001884        0.141938        Yes                           
coGN_ReadoutComponent5_Feature83_fold0                       0.001875        0.000000        No                            
coGN_ReadoutComponent1_Feature99_fold0                       0.001866        -0.388610       Yes                           
