# c0 + a0 * ((feature_26 / feature_21) + (feature_11 + feature_9)) + a1 * (|(feature_26 - feature_5) - (feature_13 / feature_14)|) + a2 * (|(feature_29 / feature_30) - (feature_29 + feature_8)|) + a3 * (|(feature_28 - feature_21) - (feature_19 / feature_30)|) + a4 * ((feature_28 - feature_3) * (feature_26 * feature_14))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.448472558462866; Max AE: 2.11217809922641
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.432107839363498e+00, -2.114143744551182e+00,  4.561935175505481e+00, -6.252961268754813e-01, -7.454369969290871e-02,  6.994299143852992e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|20|div|10|8|add|add; ((feature_26 / feature_21) + (feature_11 + feature_9)); $\left(\left(\frac{ feature_{26} }{ feature_{21} } \right) + \left(feature_{11} + feature_{9}\right)\right)$; ((feature_26 ./ feature_21) + (feature_11 + feature_9)); ((newdata$feature_26 / newdata$feature_21) + (newdata$feature_11 + newdata$feature_9)); feature_26,feature_21,feature_11,feature_9
# 1;  2; Unitless;                                         25|4|sub|12|13|div|abd; (|(feature_26 - feature_5) - (feature_13 / feature_14)|); $\left(\left|\left(feature_{26} - feature_{5}\right) - \left(\frac{ feature_{13} }{ feature_{14} } \right)\right|\right)$; abs((feature_26 - feature_5) - (feature_13 ./ feature_14)); abs((newdata$feature_26 - newdata$feature_5) - (newdata$feature_13 / newdata$feature_14)); feature_26,feature_5,feature_13,feature_14
# 2;  2; Unitless;                                         28|29|div|28|7|add|abd; (|(feature_29 / feature_30) - (feature_29 + feature_8)|); $\left(\left|\left(\frac{ feature_{29} }{ feature_{30} } \right) - \left(feature_{29} + feature_{8}\right)\right|\right)$; abs((feature_29 ./ feature_30) - (feature_29 + feature_8)); abs((newdata$feature_29 / newdata$feature_30) - (newdata$feature_29 + newdata$feature_8)); feature_29,feature_30,feature_29,feature_8
# 3;  2; Unitless;                                         27|20|sub|18|29|div|abd; (|(feature_28 - feature_21) - (feature_19 / feature_30)|); $\left(\left|\left(feature_{28} - feature_{21}\right) - \left(\frac{ feature_{19} }{ feature_{30} } \right)\right|\right)$; abs((feature_28 - feature_21) - (feature_19 ./ feature_30)); abs((newdata$feature_28 - newdata$feature_21) - (newdata$feature_19 / newdata$feature_30)); feature_28,feature_21,feature_19,feature_30
# 4;  2; Unitless;                                         27|2|sub|25|13|mult|mult; ((feature_28 - feature_3) * (feature_26 * feature_14)); $\left(\left(feature_{28} - feature_{3}\right) \left(feature_{26} feature_{14}\right)\right)$; ((feature_28 - feature_3) .* (feature_26 .* feature_14)); ((newdata$feature_28 - newdata$feature_3) * (newdata$feature_26 * newdata$feature_14)); feature_28,feature_3,feature_26,feature_14
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
0           ,  6.200000000000000e-01,  8.421759078604457e-01,  1.381106582549687e-01,  1.018592353469573e-01,  4.475840052427149e-01,  3.420748162935427e+00, -1.600704074901740e+00
1           ,  1.560000000000000e+00,  1.180054237246336e+00,  1.716449262809178e-01,  1.509265168406673e-01,  4.314021088154334e-01,  2.547203162483745e+00, -9.354942717177191e-02
2           ,  1.240000000000000e+00,  1.684688476922900e+00,  1.345386012287312e-01,  4.633257102839011e-02,  4.559262806185444e-01,  2.079904600000000e+00,  3.132384820711658e-01
3           ,  1.280000000000000e+00,  1.404580912971144e+00,  1.713490323632063e-01,  1.180786880270177e-01,  4.490728903915789e-01,  2.708537231040622e+00, -2.455518295223066e+00
4           ,  5.800000000000001e-01,  1.319609930887678e+00,  1.716293266556146e-01,  1.159139017981614e-01,  4.329421066285523e-01,  2.909109024863409e+00, -3.914729453907213e+00
5           ,  1.160000000000000e+00,  9.802274019896050e-01,  1.393686580194808e-01,  1.028565627448841e-01,  4.032955968702561e-01,  2.891024330000000e+00, -1.706775862664569e+00
6           ,  1.400000000000000e+00,  1.181040693893337e+00,  1.860103441966564e-01,  6.306464541455697e-03,  4.243902487154653e-01,  2.814589958412373e+00,  1.791462844260010e+00
7           ,  7.000000000000000e-01,  9.870014547824112e-01,  1.593598588389794e-01,  1.627094155905664e-01,  4.231266525397125e-01,  2.952506724811416e+00, -2.145009329127064e+00
8           ,  9.200000000000002e-01,  6.097565244909766e-01,  9.536798574999178e-02,  2.209621798272506e-01,  4.260859235396073e-01,  2.420336600000001e+00,  3.820873759130119e+00
9           ,  3.200000000000000e+00,  2.646532436536952e+00,  1.717049493165586e-01,  5.182895674155832e-02,  4.705157183918118e-01,  2.732528800123689e+00, -1.611469389666749e+01
10          ,  1.900000000000000e+00,  2.576362960834716e+00,  3.489423478271551e-01,  4.307090507517031e-02,  5.761184888141865e-01,  2.252693650000000e+00,  1.345370219907800e+00
12          ,  1.640000000000000e+00,  1.136026317837834e+00,  1.393034778301211e-01,  1.430727353653001e-01,  5.095861905150496e-01,  2.692988405840691e+00,  3.226460413164710e+00
13          ,  6.200000000000000e-01,  7.580817290999200e-01,  1.374970955475067e-01,  3.979538089797233e-02,  4.342071373901006e-01,  3.286248067594975e+00,  1.577187864961249e+00
14          ,  1.920000000000000e+00,  1.623440731906597e+00,  1.862164625926727e-01,  1.319634530105690e-01,  4.586609828367333e-01,  3.117398296030689e+00, -8.143108263003720e+00
15          ,  2.520000000000000e+00,  1.762166258946063e+00,  2.231545742340157e-01,  8.960702750266374e-02,  4.085091360388556e-01,  2.109111972232587e+00, -2.209037687827194e+00
16          ,  2.620000000000001e+00,  2.051933109720427e+00,  1.817413570114101e-01,  5.457811171368632e-02,  4.229096765301275e-01,  1.763294316000001e+00, -2.671844400163133e+00
17          ,  1.120000000000000e+00,  1.536994616725754e+00,  1.394121902903367e-01,  3.435183624941412e-02,  4.616119418241115e-01,  2.775384740000000e+00, -2.692615414185581e+00
18          ,  1.240000000000000e+00,  1.930719605954070e+00,  1.150485996602836e-01,  3.379544954626218e-02,  5.440680187078559e-01,  2.130850060000000e+00,  1.699180679019572e+00
19          ,  1.260000000000000e+00,  1.459842324890475e+00,  1.853435477128096e-01,  1.706924716296942e-01,  4.708087162040027e-01,  1.960601860000000e+00,  3.371670023662047e+00
20          ,  2.180000000000000e+00,  2.150559668562023e+00,  1.316362554914684e-01,  8.173646157422947e-02,  6.088715886894558e-01,  2.145341707477129e+00,  1.775871651842282e+00
21          ,  6.799999999999999e-01,  7.241915490949840e-01,  1.000752777034719e-01,  1.050354854313558e-01,  4.130387779762444e-01,  2.919051580000000e+00,  7.452890243113267e-01
22          ,  8.800000000000001e-01,  1.280495697479327e+00,  1.137320265766186e-01,  9.851355533239503e-02,  4.597417971457766e-01,  2.311859900000000e+00,  1.864492758522049e+00
24          ,  1.320000000000001e+00,  1.373206015862376e+00,  1.590583530933699e-01,  5.119897880163436e-02,  4.067511119305383e-01,  2.396950835785757e+00, -5.151730281355084e-01
25          ,  2.260000000000000e+00,  1.792662210847334e+00,  2.482886167902301e-01,  1.255906225322912e-01,  4.452446234878142e-01,  3.007584821106101e+00, -8.107167566484465e+00
26          ,  1.960000000000000e+00,  1.743253920088963e+00,  1.549155673640694e-01,  6.276810818143655e-02,  4.791676026526458e-01,  2.350616629917743e+00, -1.122205853005761e+00
27          ,  9.800000000000000e-01,  9.568122858467143e-01,  1.855709698852478e-01,  3.548313201022366e-02,  4.126918411339651e-01,  3.261244467742920e+00, -5.049428769615754e-01
29          ,  8.400000000000000e-01,  1.186089813711830e+00,  1.518080992693401e-01,  1.035926180707360e-01,  4.415879236072043e-01,  2.110889298786291e+00,  4.804009781816730e+00
30          ,  1.200000000000000e+00,  1.047199683162290e+00,  1.277164565337183e-01,  3.866995757691228e-02,  3.948166134832760e-01,  2.339417892326109e+00,  2.943178673362336e+00
31          ,  3.840000000000000e+00,  3.493325202969415e+00,  1.486957307595875e-01,  7.644410845759447e-02,  6.428800755897521e-01,  2.080978500000000e+00, -1.290941608061123e+01
32          ,  3.000000000000000e-01,  1.435029613526330e+00,  1.390254550690919e-01,  2.289983911807003e-02,  4.484661462924924e-01,  2.664725700000000e+00, -8.888413573851794e-01
33          ,  2.600000000000001e-01,  1.261919307082785e+00,  1.204556359151329e-01,  1.001432232727834e-03,  4.541719959928270e-01,  2.580637467395267e+00,  2.503164235243368e+00
34          ,  7.800000000000002e-01,  1.170324629887104e+00,  1.658920075228205e-01,  1.191234240226154e-01,  4.038667120273694e-01,  2.482341100669372e+00, -3.897850708163573e-01
35          ,  1.160000000000000e+00,  1.323576094026928e+00,  3.015971554196462e-01,  2.052071413040458e-01,  5.296834254307770e-01,  2.274487270000000e+00,  8.983812244551910e+00
36          ,  3.800000000000000e-01,  6.150225842333876e-01,  1.488191542363252e-01,  2.131579070965874e-01,  4.404754774496377e-01,  2.226856470000000e+00,  8.219084338155033e+00
37          ,  1.080000000000000e+00,  9.969983340768820e-01,  1.487352924463274e-01,  4.411238954240679e-02,  4.038316600637588e-01,  2.645773012895148e+00,  2.129947356726063e+00
38          ,  2.020000000000000e+00,  1.219748260087536e+00,  1.859145145805813e-01,  1.292092249129020e-02,  4.210350437501034e-01,  2.527224257816340e+00,  3.286664765190543e+00
39          ,  3.500000000000000e+00,  2.797134148088056e+00,  1.858578871208434e-01,  5.145001095989207e-02,  4.607720372726613e-01,  2.563585601534715e+00, -1.684164478364258e+01
40          ,  2.860000000000000e+00,  1.989114148752684e+00,  1.716499975529922e-01,  1.904603747321702e-02,  4.639045809982658e-01,  2.879672511747204e+00, -8.006369891277176e+00
41          ,  1.200000000000000e+00,  7.416872767221083e-01,  3.024526810434812e-01,  5.338487078060299e-02,  4.493441396436698e-01,  2.904881237217110e+00,  1.091902785730775e+01
42          ,  2.640000000000001e+00,  1.427709424837657e+00,  2.028902710951334e-01,  1.280286966759943e-01,  4.674181034682722e-01,  2.722828620606787e+00, -1.016084026350785e+00
43          ,  1.900000000000000e+00,  9.846941578292571e-01,  3.161201088849492e-01,  3.364617693450295e-02,  4.390224269827478e-01,  3.302135935630580e+00,  4.700868618370999e+00
44          ,  8.000000000000003e-01,  1.400635182784176e+00,  3.580049740572639e-01,  2.133838598442205e-01,  3.963509218796722e-01,  2.565613140000000e+00, -1.043192978041333e+00
45          ,  6.400000000000000e-01,  6.060757497801375e-01,  1.482199094677314e-01,  9.530637766545436e-02,  4.336379112683685e-01,  3.196366967455270e+00,  3.110950264004325e+00
46          ,  1.320000000000001e+00,  1.610589878870631e+00,  1.405754780031723e-01,  6.447600374173520e-02,  4.444324759182360e-01,  2.327446359627944e+00, -1.790195980383928e+00
47          ,  2.300000000000000e+00,  1.899724788479070e+00,  2.234597551112072e-01,  1.475635555876088e-02,  4.385687966608676e-01,  2.571465667329736e+00, -3.960345565445601e+00
48          ,  1.040000000000000e+00,  1.261628696581188e+00,  1.593107061097516e-01,  2.055021393750392e-01,  4.636383455831951e-01,  2.512732600000000e+00, -8.761694538523063e-01
49          ,  1.600000000000000e+00,  1.452109877002773e+00,  1.491316986320485e-01,  4.177706959016049e-02,  5.043754149658285e-01,  2.309737151500582e+00,  5.075679557107734e+00
50          ,  1.840000000000000e+00,  1.551435449175919e+00,  2.482886167902301e-01,  1.109403843609305e-01,  4.143126650116231e-01,  2.506109895392686e+00, -2.142073101850057e+00
52          ,  2.200000000000000e-01,  8.876075116465117e-01,  1.568928959619165e-01,  1.586893331346809e-01,  4.229260033912950e-01,  2.864450915758304e+00, -5.175846896875792e-02
53          ,  1.420000000000000e+00,  1.136604272086566e+00,  1.821032850437905e-01,  2.653584424887297e-01,  4.383920240156409e-01,  1.868856680000000e+00,  3.703085983684742e+00
54          ,  4.999999999999999e-01,  9.587183135665556e-01,  1.713940170700678e-01,  1.570920237793320e-01,  4.693076385056656e-01,  2.967867539084200e+00,  1.483695622596108e+00
55          ,  6.799999999999999e-01,  7.760534713486764e-01,  1.712253197399764e-01,  1.037007782716620e-01,  4.236223610888878e-01,  2.872631977407135e+00,  3.445879874685089e+00
56          ,  1.540000000000000e+00,  1.645976079710361e+00,  3.858294559658705e-01,  2.092385326982667e-01,  3.841134538080044e-01,  2.236653080000000e+00, -1.298533451002191e+00
57          ,  1.180000000000000e+00,  1.364886608354154e+00,  2.469544078769327e-01,  5.694858922325804e-02,  4.194350721723730e-01,  2.968733525537411e+00, -1.718943552055261e+00
58          ,  1.880000000000000e+00,  1.264711706684864e+00,  1.681464356070415e-01,  2.435280595702401e-01,  4.147663090572898e-01,  2.485249600000000e+00, -4.468047434319322e+00
59          ,  4.999999999999999e-01,  1.040314093556695e+00,  2.227906467806848e-01,  1.288999226232635e-01,  4.234527034625169e-01,  3.073798434111550e+00, -8.292684492226343e-01
60          ,  8.200000000000000e-01,  9.082116401966625e-01,  1.534797881946087e-01,  1.035155794521949e-01,  3.911232756146630e-01,  2.801549731097169e+00, -2.933623060110152e-01
61          ,  1.280000000000000e+00,  1.529057401728129e+00,  4.902904542266591e-01,  4.785212525201571e-02,  4.280770790283794e-01,  3.099068900000001e+00,  3.711508878397590e+00
62          ,  2.080000000000000e+00,  1.097021321312475e+00,  1.859385289648944e-01,  7.744230122097298e-02,  4.099588766588840e-01,  2.533417929342782e+00,  2.374129430295244e+00
63          ,  1.380000000000000e+00,  1.748049181035929e+00,  3.311108219197554e-01,  3.659687267778872e-02,  4.531613905156618e-01,  2.794632460000000e+00, -1.171200398030441e-02
64          ,  7.200000000000000e-01,  1.315606879954268e+00,  1.853743108384561e-01,  1.446363528831494e-01,  4.310621818569466e-01,  2.715017245268327e+00, -2.714122455704814e+00
65          ,  1.520000000000000e+00,  1.437103294434305e+00,  1.487264835315491e-01,  4.162170768111789e-02,  4.476498096501317e-01,  2.282295050000001e+00,  2.026869500160128e+00
66          ,  8.400000000000000e-01,  1.393974585378240e+00,  1.858228571462833e-01,  7.245676679680590e-02,  4.132288261855450e-01,  2.662507148586347e+00, -2.354588710677536e+00
67          ,  9.600000000000000e-01,  1.110685565255399e+00,  1.408725596345326e-01,  1.736363715489909e-01,  5.506564192943999e-01,  1.800979950000000e+00,  1.274665011835192e+01
