ORB_v3_layer_1_162,ORB_v3_layer_1_57,ORB_v3_layer_1_131,ORB_v3_layer_1_225,ORB_v3_encoder_node_features_2,ORB_v3_layer_1_35,ORB_v3_layer_1_209,ORB_v3_encoder_node_features_56,ORB_v3_layer_1_221,SISSO_matbench_perovskites_13,target
-1.5958867,0.22111635,-1.7938244,2.1915932,-10.4131365,14.876761,21.817162,2.820028,-13.3897705,0.4087856292738502,2.16
2.0461528,0.037852034,-0.7347674,2.3301613,4.3048234,0.015477657,-5.7870975,-11.099898,-4.7594175,1.0663975457156474,1.52
0.781575,-0.009512114,-1.2535075,-0.4869802,-6.0292573,11.573394,15.905112,8.805679,-12.448669,0.737591587494749,1.48
0.5447599,0.21683855,-3.1444042,4.373717,-4.0233126,4.1504493,2.2231033,7.725763,-3.4834487,0.9460368433523448,1.24
2.053148,-0.0144135235,-0.5192925,1.860875,3.2925224,-7.602115,-17.176294,-2.0026035,-0.6337978,1.0663975457156474,0.62
-0.5063608,0.0044351458,-1.0936038,2.1655197,18.73776,-7.8066635,-15.287684,-27.695734,1.1720803,0.6386860813103313,1.48
1.011026,0.11889376,-1.6744486,3.0868022,2.6482036,4.934017,5.477988,-6.126139,-6.92511,0.3098801230894326,1.56
-0.32260463,0.3661131,-3.3194482,1.586921,12.616745,-3.8376024,-15.0301485,-10.8349905,-2.808913,1.1759995317892802,1.2
-0.38651344,0.013135925,-2.0143194,-0.5437164,-0.8301865,8.067995,13.177371,-0.7609343,-9.992226,0.737591587494749,1.62
-1.8438987,-0.075469114,2.6728642,-0.8769898,11.276694,13.4438925,25.10933,-28.878983,-11.280117,0.6386860813103311,3.16
2.8895166,-0.33515674,1.8939396,1.3238827,12.461481,-2.809319,-5.886448,-6.9202013,-3.4688776,0.9460368433523448,1.4
-1.5636239,-0.21573484,3.217189,3.6735528,3.5364811,9.891886,18.40422,-14.670425,-7.208553,0.0906761509421667,2.74
2.1247616,0.60167545,-3.052031,3.671138,-15.83994,2.2912447,-4.217077,13.656772,-2.681552,0.518387615347483,0.78
0.80801076,0.34431043,-1.1345295,3.0083954,-21.776628,8.24554,13.367798,17.466085,-9.32595,0.1895816571265844,1.24
-0.5143243,0.09202298,0.30455872,0.13679896,-5.561049,8.614478,12.941193,4.5565524,-7.8219275,-0.3477317933523647,1.76
-0.04234543,0.27764565,-0.9539978,5.0805283,-3.4953625,7.1233544,9.633821,12.069934,-8.464867,0.8772681900590937,1.5
-1.2757756,-0.030598296,0.30409798,3.5525224,17.844023,8.130545,15.287372,3.774411,-6.8039093,1.1759995317892802,2.06
0.89677185,0.07506567,-2.699963,1.6344925,-14.822281,7.2483873,8.91937,7.5103593,-9.747526,0.1895816571265844,1.06
-0.1256529,0.13897645,-0.031200482,3.8837793,0.86796266,3.9233346,5.7486353,-7.6143913,-5.632711,-0.0189258351314661,1.7
1.3532238,0.08331049,-2.4041708,2.372785,12.683792,-9.02073,-17.74639,-14.66236,1.7190285,0.4194821091630655,0.46
1.5049876,0.12781608,-2.028482,5.662873,4.6160507,-2.387627,-2.848868,5.435439,-1.3336438,0.9567955596420148,1.08
0.9431963,0.29249296,0.0031038523,0.09437466,-5.918945,7.6386065,16.574352,8.280471,-8.96042,0.737591587494749,1.28
0.60536236,0.32078665,-1.0360067,1.2479324,-15.833783,9.890937,11.950658,2.9080293,-6.8466873,-0.3477317933523647,1.76
0.61958027,0.10530871,-0.9677612,2.6346316,4.562797,-2.2885816,-6.5683556,-19.984406,-1.3644155,-0.8850452438313139,1.68
2.3384094,0.278596,-0.2952334,4.361764,-5.288813,3.1473305,4.3282657,-16.794495,-3.1136472,-0.0189258351314661,0.82
0.73513246,0.24661723,-2.336744,2.9000669,-20.99706,6.6263804,8.383936,16.861334,-7.0519853,0.2991836432002173,1.16
