--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
------------------------------------------------------------ --------------- --------------- ------------------------------
ORB_v3_layer_1_162                                           0.006819        -0.504964       Yes                           
ORB_v3_layer_1_57                                            0.005735        -0.492430       Yes                           
ORB_v3_layer_1_131                                           0.005389        0.521465        Yes                           
ORB_v3_layer_1_225                                           0.004741        -0.545522       Yes                           
ORB_v3_encoder_node_features_2                               0.004696        0.550452        Yes                           
ORB_v3_layer_1_35                                            0.004567        0.497366        Yes                           
ORB_v3_layer_1_209                                           0.004249        0.458498        Yes                           
ORB_v3_encoder_node_features_56                              0.003599        -0.364586       Yes                           
ORB_v3_layer_1_221                                           0.003364        -0.343164       Yes                           
SISSO_matbench_perovskites_13                                0.003326        -0.357105       Yes                           
ORB_v3_layer_1_101                                           0.003267        0.390221        Yes                           
ORB_v3_layer_1_176                                           0.003120        0.372253        Yes                           
ORB_v3_encoder_node_features_7                               0.003100        -0.348177       Yes                           
ORB_v3_layer_1_246                                           0.002980        0.396732        Yes                           
ORB_v3_layer_2_144                                           0.002903        -0.303184       Yes                           
ORB_v3_encoder_node_features_11                              0.002884        -0.421039       Yes                           
ORB_v3_layer_1_199                                           0.002858        -0.229106       Yes                           
ORB_v3_encoder_node_features_50                              0.002847        -0.446014       Yes                           
ORB_v3_layer_1_37                                            0.002839        -0.306955       Yes                           
ORB_v3_layer_1_107                                           0.002822        -0.403472       Yes                           
ORB_v3_layer_1_92                                            0.002690        0.248130        Yes                           
ORB_v3_layer_1_136                                           0.002685        0.353454        Yes                           
ORB_v3_layer_1_47                                            0.002617        0.350629        Yes                           
ORB_v3_layer_1_123                                           0.002590        -0.394535       Yes                           
ORB_v3_layer_1_168                                           0.002406        0.352218        Yes                           
ORB_v3_layer_1_83                                            0.002396        0.337107        Yes                           
ORB_v3_layer_1_133                                           0.002367        0.376721        Yes                           
SISSO_noemd_shg_20                                           0.002367        -0.154958       Yes                           
ORB_v3_layer_1_165                                           0.002366        -0.320775       Yes                           
ORB_v3_layer_1_86                                            0.002342        -0.272119       Yes                           
ORB_v3_layer_1_251                                           0.002318        -0.269923       Yes                           
ORB_v3_layer_1_28                                            0.002315        -0.409194       Yes                           
ORB_v3_layer_1_196                                           0.002315        -0.344125       Yes                           
ORB_v3_initial_atom_embedding_195                            0.002303        -0.294757       Yes                           
ORB_v3_layer_1_52                                            0.002287        -0.331105       Yes                           
ORB_v3_layer_1_218                                           0.002263        -0.351718       Yes                           
ORB_v3_layer_1_105                                           0.002254        -0.307066       Yes                           
SISSO_matbench_glass_11                                      0.002232        -0.257548       Yes                           
ORB_v3_initial_atom_embedding_245                            0.002221        0.397637        Yes                           
ORB_v3_initial_atom_embedding_237                            0.002191        0.237243        Yes                           
ORB_v3_layer_1_90                                            0.002123        0.293136        Yes                           
SISSO_matbench_mp_is_metal_7                                 0.002084        0.330541        Yes                           
ORB_v3_layer_1_80                                            0.002066        0.305706        Yes                           
MVL16_Eform_MP_2019_15                                       0.002034        -0.306630       Yes                           
ORB_v3_layer_1_84                                            0.002025        0.269475        Yes                           
ORB_v3_layer_1_240                                           0.002025        -0.248038       Yes                           
ORB_v3_layer_1_149                                           0.002021        -0.257904       Yes                           
MVL32_Eform_MP_2019_16                                       0.002007        -0.198392       Yes                           
ORB_v3_layer_1_27                                            0.001978        0.322855        Yes                           
ORB_v3_initial_atom_embedding_242                            0.001965        0.112783        Yes                           
ORB_v3_encoder_node_features_131                             0.001918        -0.379555       Yes                           
ORB_v3_initial_atom_embedding_207                            0.001907        -0.343481       Yes                           
SISSO_matbench_expt_is_metal_15                              0.001907        -0.335611       Yes                           
ORB_v3_layer_1_150                                           0.001849        -0.228811       Yes                           
ORB_v3_layer_1_5                                             0.001843        0.191698        Yes                           
