# c0 + a0 * ((feature_24 - feature_1) * (|feature_19 - feature_18|)) + a1 * ((|feature_21 - feature_16|) / (feature_28 + feature_26)) + a2 * ((|feature_17 - feature_6|) + (feature_14 / feature_28)) + a3 * ((feature_26 - feature_11) - (feature_26 * feature_2))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.448186133311516; Max AE: 1.76424363831001
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.516935647158463e-02,  1.891888931248853e+01,  1.436339730412273e-01, -1.176816326694496e-02,  4.418981203829250e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         23|0|sub|18|17|abd|mult; ((feature_24 - feature_1) * (|feature_19 - feature_18|)); $\left(\left(feature_{24} - feature_{1}\right) \left(\left|feature_{19} - feature_{18}\right|\right)\right)$; ((feature_24 - feature_1) .* abs(feature_19 - feature_18)); ((newdata$feature_24 - newdata$feature_1) * abs(newdata$feature_19 - newdata$feature_18)); feature_24,feature_1,feature_19,feature_18
# 1;  2; Unitless;                                         20|15|abd|27|25|add|div; ((|feature_21 - feature_16|) / (feature_28 + feature_26)); $\left(\frac{ \left(\left|feature_{21} - feature_{16}\right|\right) }{ \left(feature_{28} + feature_{26}\right) } \right)$; (abs(feature_21 - feature_16) ./ (feature_28 + feature_26)); (abs(newdata$feature_21 - newdata$feature_16) / (newdata$feature_28 + newdata$feature_26)); feature_21,feature_16,feature_28,feature_26
# 2;  2; Unitless;                                         16|5|abd|13|27|div|add; ((|feature_17 - feature_6|) + (feature_14 / feature_28)); $\left(\left(\left|feature_{17} - feature_{6}\right|\right) + \left(\frac{ feature_{14} }{ feature_{28} } \right)\right)$; (abs(feature_17 - feature_6) + (feature_14 ./ feature_28)); (abs(newdata$feature_17 - newdata$feature_6) + (newdata$feature_14 / newdata$feature_28)); feature_17,feature_6,feature_14,feature_28
# 3;  2; Unitless;                                         25|10|sub|25|1|mult|sub; ((feature_26 - feature_11) - (feature_26 * feature_2)); $\left(\left(feature_{26} - feature_{11}\right) - \left(feature_{26} feature_{2}\right)\right)$; ((feature_26 - feature_11) - (feature_26 .* feature_2)); ((newdata$feature_26 - newdata$feature_11) - (newdata$feature_26 * newdata$feature_2)); feature_26,feature_11,feature_26,feature_2
# Number of Samples Per Task
# Task, n_samples               
# all , 1705                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  1.480000000000000e+00,  9.823907172779722e-01,  6.727384771189219e+00,  2.360744101260834e-03,  5.119156210082062e+00,  5.959371696855278e+00
1           ,  4.600000000000000e-01,  1.109662936795453e+00,  9.633746323242152e+00,  5.419963167442285e-03,  4.714771384439379e+00, -1.108915466654507e+01
2           ,  1.760000000000000e+00,  1.325201257282154e+00,  5.454350984335796e-01,  6.216501810679938e-03,  4.552744890254258e+00, -1.066379161978537e+01
3           ,  1.680000000000000e+00,  1.579421989507591e+00,  2.220072259057135e+00,  2.155937849495903e-03,  6.056242392673138e+00, -2.402512156677274e+01
4           ,  1.300000000000000e+00,  1.429634951248736e+00,  2.516080602822341e+00,  4.569111478953038e-03,  4.795939655362210e+00, -2.343293279688604e+01
5           ,  1.280000000000000e+00,  7.692886120965169e-01,  1.155831806326828e+01,  8.658101092537184e-04,  4.375701529673509e+00,  2.258095958515549e+00
6           ,  1.240000000000000e+00,  1.135821488027893e+00,  3.441071482222149e-01,  1.889737962991313e-03,  7.590724470055702e+00,  3.598295881169749e+01
7           ,  2.040000000000000e+00,  2.172344887758263e+00, -4.691731382230740e-01,  2.101767301191965e-02,  4.353608652658876e+00, -5.911549903458003e+01
10          ,  1.320000000000001e+00,  1.667169450908740e+00,  2.240817898558575e+00,  5.027278838076520e-03,  6.302222740150367e+00, -2.390750753379277e+01
11          ,  1.440000000000000e+00,  1.429963575048978e+00,  2.220391143450704e+00,  1.348899590487876e-02,  2.559574361805823e+00, -3.578405618344114e+01
12          ,  2.380000000000000e+00,  2.436499852272734e+00,  7.483183874512803e-01,  2.442507015158797e-02,  5.176569441666338e+00, -6.864367629303946e+01
13          ,  1.020000000000000e+00,  1.534135823604007e+00,  1.050166868126172e+01,  2.896973734071367e-02,  4.205662189768141e+00, -1.736946687627024e+01
14          ,  1.000000000000000e+00,  1.327538024261048e+00,  1.363730808764284e+01,  1.160203118323871e-02,  5.521778806208537e+00, -1.837751530096367e+01
15          ,  5.600000000000001e-01,  9.367907931093998e-01,  1.125405295363036e+01,  3.700662677055307e-03,  4.772435754072552e+00, -1.924990904791813e+00
16          ,  8.800000000000001e-01,  8.245533802230552e-01,  1.313839170461385e+01,  4.050551722278580e-03,  3.798171333587539e+00, -7.746471851742015e+00
17          ,  1.000000000000000e+00,  1.225969272953958e+00,  1.909927982522368e+00,  5.439737294829648e-03,  3.126498212983010e+00, -2.380640518288607e+01
