coGN_ReadoutComponent3_Feature71_fold0,coGN_ReadoutComponent2_Feature126_fold0,coGN_ReadoutComponent3_Feature88_fold0,MVL32_Eform_MP_2019_20,coGN_ReadoutComponent1_Feature125_fold0,ORB_v3_layer_2_4,ORB_v3_layer_2_237,ORB_v3_layer_3_235,ORB_v3_layer_3_113,ROOST_mpgap_LayerMaterialPooling_#42,target
-1.1087338,-0.8092144000000001,-0.80875087,-0.68076956,1.6076629999999996,-1.8016205,0.2986775300000001,-0.7196144500000001,0.28161907,0.0208500769999999,2.16
-2.5481474,0.1526056999999998,0.29402858,0.21789803,-0.7349076999999999,-0.4587995999999997,0.5518126499999999,-0.9425182,-0.6282901,0.0076372199999999,1.52
-2.4827793,-1.1081228,0.4939305200000001,-0.6930529999999999,-0.32427692,-1.1016185,0.22642227,-0.88535196,1.6725296000000005,0.0026598732999999,1.48
-1.1480932,-0.8888616600000001,0.1738011499999998,-0.14844485,0.6551029700000001,-1.2832678999999998,-0.1986293999999999,-0.9908795,0.3517772999999998,0.011802449,1.2400000000000002
-2.4227684,-1.7939116999999998,1.1561364999999997,0.20660071,0.4226121300000002,0.0204815619999997,0.2462594999999999,-0.50025415,-0.5189349,0.002303154,0.62
-2.3252404,-0.3810142999999998,1.1227535999999998,1.7450373,0.0245389079999999,-0.1908234400000002,0.55328697,-0.13214204,-0.0603856559999999,0.0004167382999999,1.48
-2.3317351000000004,-1.3247106000000002,2.1847045,-0.454474,1.6394886999999996,-1.7692484,0.1498247799999999,-0.1793524900000001,-0.9281556000000002,0.05542819,1.56
-1.121251,-1.0539286,-1.9826481,2.2150006,0.1021344699999999,-1.1865313,0.42073938,-0.21937251,-0.6407227499999999,-0.015006256,1.2
-1.0187849999999998,-1.0368444999999995,-1.8830240000000005,-0.34984824,0.9424108,-1.9854845,0.3657518599999999,-0.7375230999999999,-0.39225227,0.028488286,1.6200000000000003
2.1145964000000004,-0.9034755,-0.6270742400000001,-0.47410557,1.4100406,-0.90795976,0.2261622300000001,-1.1945423000000002,-0.28594372,-0.006320765,3.16
