# c0 + a0 * (|(feature_25 + feature_22) - sqrt(feature_14)|) + a1 * ((feature_17 * feature_11) / (feature_15 + feature_11)) + a2 * ((feature_19 / feature_22) + (exp(-1.0 * feature_18))) + a3 * ((feature_22 * feature_12) * (feature_11 + feature_8))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.458257504552349; Max AE: 2.40079924174518
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.235366348197915e-02,  4.490356425757465e-02,  3.464394934686633e-01,  3.367360376533663e-03,  6.395916410305325e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         24|21|add|13|sqrt|abd; (|(feature_25 + feature_22) - sqrt(feature_14)|); $\left(\left|\left(feature_{25} + feature_{22}\right) - \left(\sqrt{ feature_{14} }\right)\right|\right)$; abs((feature_25 + feature_22) - sqrt(feature_14)); abs((newdata$feature_25 + newdata$feature_22) - sqrt(newdata$feature_14)); feature_25,feature_22,feature_14
# 1;  2; Unitless;                                         16|10|mult|14|10|add|div; ((feature_17 * feature_11) / (feature_15 + feature_11)); $\left(\frac{ \left(feature_{17} feature_{11}\right) }{ \left(feature_{15} + feature_{11}\right) } \right)$; ((feature_17 .* feature_11) ./ (feature_15 + feature_11)); ((newdata$feature_17 * newdata$feature_11) / (newdata$feature_15 + newdata$feature_11)); feature_17,feature_11,feature_15,feature_11
# 2;  2; Unitless;                                         18|21|div|17|nexp|add; ((feature_19 / feature_22) + (exp(-1.0 * feature_18))); $\left(\left(\frac{ feature_{19} }{ feature_{22} } \right) + \left(\exp{ \left(-feature_{18} \right) } \right)\right)$; ((feature_19 ./ feature_22) + exp(-1.0 * (feature_18))); ((newdata$feature_19 / newdata$feature_22) + exp(-1.0 * (newdata$feature_18))); feature_19,feature_22,feature_18
# 3;  2; Unitless;                                         21|11|mult|10|7|add|mult; ((feature_22 * feature_12) * (feature_11 + feature_8)); $\left(\left(feature_{22} feature_{12}\right) \left(feature_{11} + feature_{8}\right)\right)$; ((feature_22 .* feature_12) .* (feature_11 + feature_8)); ((newdata$feature_22 * newdata$feature_12) * (newdata$feature_11 + newdata$feature_8)); feature_22,feature_12,feature_11,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1694                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  6.200000000000000e-01,  7.167108685119952e-01,  8.175583192703968e+00, -9.810998787008394e+00,  4.650272006317765e-02,  1.189534872540201e+02
1           ,  1.200000000000000e+00,  1.049723004298179e+00,  7.646731089439669e-01, -2.900374968543211e+00,  1.127892164731647e+00,  4.162774899800440e+01
2           ,  8.200000000000000e-01,  6.925619509575405e-01,  5.188971034699534e-01, -1.762958185208155e+00,  1.785670608478599e-01,  1.896454392484567e+01
3           ,  9.800000000000000e-01,  1.008026523870835e+00,  1.523528648211148e+00, -5.896104854630820e+00,  1.265071291911080e+00,  5.229591387967598e+01
4           ,  9.800000000000000e-01,  1.067090321697387e+00,  8.590755989406244e+00, -2.449637546127580e+00,  3.223980574084354e-01,  9.493412454518882e+01
5           ,  8.400000000000000e-01,  9.932892624818709e-01,  1.212685065813795e+01, -1.514059013116708e-01,  2.586628695259816e-01,  3.595523107328070e+01
6           ,  6.400000000000000e-01,  1.410494173085007e+00,  1.709638203039261e+01, -7.247024764118458e+00,  1.178316945634913e+00,  1.416246688045589e+02
7           ,  8.200000000000000e-01,  1.019799321644650e+00,  1.169788733552889e+01, -3.373563372571722e-01,  4.235987387041094e-01,  3.091236900077546e+01
9           ,  2.160000000000000e+00,  2.339552243944274e+00,  1.945958888931258e+01, -2.586778239298576e+00,  1.225244814131581e+00,  3.418837402749822e+02
10          , -3.999999999999990e-02,  7.412185624221651e-01,  1.231592397101505e+00, -1.619893503050732e+00,  1.397571735485391e-01,  3.288446099634978e+01
11          ,  1.120000000000000e+00,  1.321856255824594e+00,  9.918036728917560e+00, -4.743445231703915e+00,  1.194605631887895e+00,  1.065759272164924e+02
12          ,  1.520000000000000e+00,  1.392342719463342e+00,  7.474009086152925e+00, -4.029541929215760e+00,  1.730738434099278e+00,  7.179639444505261e+01
13          ,  2.320000000000000e+00,  2.586536820208658e+00,  4.961736363420091e+00, -3.321863650560653e+00,  3.656701211997461e+00,  2.280680634740676e+02
14          ,  8.200000000000000e-01,  1.178172989172625e+00,  2.552039695343815e+00, -4.077062641082930e+00,  1.522976525759184e+00,  4.826027467181790e+01
15          ,  8.000000000000003e-01,  1.125587117945765e+00,  5.912569329326328e+00, -7.271641131887408e+00,  1.323534926226661e+00,  8.343372525804718e+01
