# c0 + a0 * (|(feature_8 * feature_1) - (|feature_3 - feature_1|)|) + a1 * ((|feature_25 - feature_11|) + (feature_13 - feature_7)) + a2 * (|(feature_22 + feature_8) - sqrt(feature_14)|) + a3 * ((feature_17 * feature_11) / (feature_15 + feature_11)) + a4 * ((feature_19 / feature_22) + (exp(-1.0 * feature_18))) + a5 * ((feature_22 * feature_12) * (feature_11 + feature_8))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.435796291814397; Max AE: 2.49653139739946
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      a5                      c0
# all , -1.443390569561740e+00,  1.218332312919527e-01,  1.371338631148230e-02,  4.388198969647972e-02,  2.947917963344087e-01,  3.107622686621729e-03,  6.081313300103625e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|0|mult|2|0|abd|abd; (|(feature_8 * feature_1) - (|feature_3 - feature_1|)|); $\left(\left|\left(feature_{8} feature_{1}\right) - \left(\left|feature_{3} - feature_{1}\right|\right)\right|\right)$; abs((feature_8 .* feature_1) - abs(feature_3 - feature_1)); abs((newdata$feature_8 * newdata$feature_1) - abs(newdata$feature_3 - newdata$feature_1)); feature_8,feature_1,feature_3,feature_1
# 1;  2; Unitless;                                         24|10|abd|12|6|sub|add; ((|feature_25 - feature_11|) + (feature_13 - feature_7)); $\left(\left(\left|feature_{25} - feature_{11}\right|\right) + \left(feature_{13} - feature_{7}\right)\right)$; (abs(feature_25 - feature_11) + (feature_13 - feature_7)); (abs(newdata$feature_25 - newdata$feature_11) + (newdata$feature_13 - newdata$feature_7)); feature_25,feature_11,feature_13,feature_7
# 2;  2; Unitless;                                         21|7|add|13|sqrt|abd; (|(feature_22 + feature_8) - sqrt(feature_14)|); $\left(\left|\left(feature_{22} + feature_{8}\right) - \left(\sqrt{ feature_{14} }\right)\right|\right)$; abs((feature_22 + feature_8) - sqrt(feature_14)); abs((newdata$feature_22 + newdata$feature_8) - sqrt(newdata$feature_14)); feature_22,feature_8,feature_14
# 3;  2; Unitless;                                         16|10|mult|14|10|add|div; ((feature_17 * feature_11) / (feature_15 + feature_11)); $\left(\frac{ \left(feature_{17} feature_{11}\right) }{ \left(feature_{15} + feature_{11}\right) } \right)$; ((feature_17 .* feature_11) ./ (feature_15 + feature_11)); ((newdata$feature_17 * newdata$feature_11) / (newdata$feature_15 + newdata$feature_11)); feature_17,feature_11,feature_15,feature_11
# 4;  2; Unitless;                                         18|21|div|17|nexp|add; ((feature_19 / feature_22) + (exp(-1.0 * feature_18))); $\left(\left(\frac{ feature_{19} }{ feature_{22} } \right) + \left(\exp{ \left(-feature_{18} \right) } \right)\right)$; ((feature_19 ./ feature_22) + exp(-1.0 * (feature_18))); ((newdata$feature_19 / newdata$feature_22) + exp(-1.0 * (newdata$feature_18))); feature_19,feature_22,feature_18
# 5;  2; Unitless;                                         21|11|mult|10|7|add|mult; ((feature_22 * feature_12) * (feature_11 + feature_8)); $\left(\left(feature_{22} feature_{12}\right) \left(feature_{11} + feature_{8}\right)\right)$; ((feature_22 .* feature_12) .* (feature_11 + feature_8)); ((newdata$feature_22 * newdata$feature_12) * (newdata$feature_11 + newdata$feature_8)); feature_22,feature_12,feature_11,feature_8
# Number of Samples Per Task
# Task, n_samples               
# all , 1694                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      ,  Feature 5 Value      
0           ,  6.200000000000000e-01,  7.416881531495636e-01,  0.000000000000000e+00,  6.328514766263007e-01,  7.555351546221523e+00, -9.810998787008394e+00,  4.650272006317765e-02,  1.189534872540201e+02
1           ,  1.200000000000000e+00,  1.070280260081211e+00,  0.000000000000000e+00,  9.546951630978592e-01,  8.205751074055954e-01, -2.900374968543211e+00,  1.127892164731647e+00,  4.162774899800440e+01
2           ,  8.200000000000000e-01,  7.180144083001475e-01,  0.000000000000000e+00,  4.561961875850936e-01,  1.465034495473169e+00, -1.762958185208155e+00,  1.785670608478599e-01,  1.896454392484567e+01
3           ,  9.800000000000000e-01,  9.542759498084068e-01,  0.000000000000000e+00,  3.755724271241972e-01,  1.726169039235746e+00, -5.896104854630820e+00,  1.265071291911080e+00,  5.229591387967598e+01
4           ,  9.800000000000000e-01,  1.141596156449143e+00,  0.000000000000000e+00,  1.106686502727924e+00,  8.463909574033121e+00, -2.449637546127580e+00,  3.223980574084354e-01,  9.493412454518882e+01
5           ,  8.400000000000000e-01,  9.669608745406238e-01,  0.000000000000000e+00,  4.854505398283632e-02,  1.251128994005997e+01, -1.514059013116708e-01,  2.586628695259816e-01,  3.595523107328070e+01
6           ,  6.400000000000000e-01,  1.413300544056251e+00,  0.000000000000000e+00,  8.381359281888723e-01,  1.703416381328229e+01, -7.247024764118458e+00,  1.178316945634913e+00,  1.416246688045589e+02
7           ,  8.200000000000000e-01,  1.060311032949409e+00,  0.000000000000000e+00,  7.135116053447065e-01,  1.160302276078364e+01, -3.373563372571722e-01,  4.235987387041094e-01,  3.091236900077546e+01
9           ,  2.160000000000000e+00,  2.516388882131830e+00,  0.000000000000000e+00,  3.018951789385856e+00,  1.679556632807751e+01, -2.586778239298576e+00,  1.225244814131581e+00,  3.418837402749822e+02
10          , -3.999999999999990e-02,  6.587446410484746e-01,  0.000000000000000e+00, -3.257021429620794e-01,  1.311641040734361e+00, -1.619893503050732e+00,  1.397571735485391e-01,  3.288446099634978e+01
11          ,  1.120000000000000e+00,  1.380136031293661e+00,  0.000000000000000e+00,  1.284033963824880e+00,  1.023531289617857e+01, -4.743445231703915e+00,  1.194605631887895e+00,  1.065759272164924e+02
12          ,  1.520000000000000e+00,  1.327448470567299e+00,  0.000000000000000e+00,  3.925825977443958e-01,  8.385110195548922e+00, -4.029541929215760e+00,  1.730738434099278e+00,  7.179639444505261e+01
13          ,  2.320000000000000e+00,  2.524362649462031e+00,  0.000000000000000e+00,  1.907957933728291e+00,  3.123489533635023e+00, -3.321863650560653e+00,  3.656701211997461e+00,  2.280680634740676e+02
14          ,  8.200000000000000e-01,  1.136518737035344e+00,  0.000000000000000e+00,  6.448606151443663e-01,  2.172757657644183e+00, -4.077062641082930e+00,  1.522976525759184e+00,  4.826027467181790e+01
15          ,  8.000000000000003e-01,  1.128730909886546e+00,  0.000000000000000e+00,  8.907998759987790e-01,  5.958911684080761e+00, -7.271641131887408e+00,  1.323534926226661e+00,  8.343372525804718e+01
16          ,  1.280000000000000e+00,  1.035879120037597e+00,  0.000000000000000e+00,  1.025231363501666e+00,  3.052168748821863e+00, -6.414811851633194e+00,  8.806551826207882e-01,  9.102448524704420e+01
18          ,  1.180000000000000e+00,  9.313830961075431e-01,  0.000000000000000e+00, -1.765793524689314e-01,  3.725700089664457e+00, -2.041994946201250e+00,  9.622141409068987e-01,  3.205891150803591e+01
