# c0 + a0 * ((feature_29 - feature_3) * sqrt(feature_29)) + a1 * ((feature_22 / feature_16) + (|feature_6 - feature_2|)) + a2 * ((feature_13 + feature_1) / sqrt(feature_25)) + a3 * ((feature_27 * feature_4) * (feature_9 - feature_5))
# Property Label: $target$; Unit of the Property: Unitless
# RMSE: 0.499933547234875; Max AE: 2.02605779056658
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.070683691514595e+01,  2.698002932427321e-01,  1.621434283712181e+00, -8.598323121669837e-02,  4.185957599645347e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         28|2|sub|28|sqrt|mult; ((feature_29 - feature_3) * sqrt(feature_29)); $\left(\left(feature_{29} - feature_{3}\right) \left(\sqrt{ feature_{29} }\right)\right)$; ((feature_29 - feature_3) .* sqrt(feature_29)); ((newdata$feature_29 - newdata$feature_3) * sqrt(newdata$feature_29)); feature_29,feature_3,feature_29
# 1;  2; Unitless;                                         21|15|div|5|1|abd|add; ((feature_22 / feature_16) + (|feature_6 - feature_2|)); $\left(\left(\frac{ feature_{22} }{ feature_{16} } \right) + \left(\left|feature_{6} - feature_{2}\right|\right)\right)$; ((feature_22 ./ feature_16) + abs(feature_6 - feature_2)); ((newdata$feature_22 / newdata$feature_16) + abs(newdata$feature_6 - newdata$feature_2)); feature_22,feature_16,feature_6,feature_2
# 2;  2; Unitless;                                         12|0|add|24|sqrt|div; ((feature_13 + feature_1) / sqrt(feature_25)); $\left(\frac{ \left(feature_{13} + feature_{1}\right) }{ \left(\sqrt{ feature_{25} }\right) } \right)$; ((feature_13 + feature_1) ./ sqrt(feature_25)); ((newdata$feature_13 + newdata$feature_1) / sqrt(newdata$feature_25)); feature_13,feature_1,feature_25
# 3;  2; Unitless;                                         26|3|mult|8|4|sub|mult; ((feature_27 * feature_4) * (feature_9 - feature_5)); $\left(\left(feature_{27} feature_{4}\right) \left(feature_{9} - feature_{5}\right)\right)$; ((feature_27 .* feature_4) .* (feature_9 - feature_5)); ((newdata$feature_27 * newdata$feature_4) * (newdata$feature_9 - newdata$feature_5)); feature_27,feature_4,feature_9,feature_5
# Number of Samples Per Task
# Task, n_samples               
# all , 1692                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
0           ,  1.240000000000000e+00,  1.599908252083202e+00, -0.000000000000000e+00,  3.121901363413770e+00,  2.829348034046736e-01,  1.392569223168523e+00
1           ,  1.080000000000000e+00,  1.288948099160003e+00, -1.607368215809916e-02,  2.399060620386488e+00,  2.455785845091282e-01,  3.496219466644090e-02
2           ,  1.680000000000000e+00,  1.108952065400812e+00, -0.000000000000000e+00,  1.273184244723343e+00,  1.428176535916626e-01, -1.340742623576271e+00
3           ,  6.000000000000000e-01,  1.493298467708756e+00, -8.071723776708546e-04,  2.603028023239271e+00,  1.939369078289696e-01, -7.744684003151995e-01
4           ,  6.200000000000000e-01,  9.395632186880347e-01, -3.324959159422814e-02,  2.297804814476175e+00,  2.493068044910321e-01,  1.712166398301441e+00
6           ,  6.000000000000000e-01,  1.050370074956753e+00, -6.202998038484868e-03,  2.017714448929117e+00,  1.152870280702653e-01,  3.852086731059260e-01
8           ,  1.240000000000000e+00,  5.026882693794292e-01, -2.066926560394163e-02,  2.031279091401957e+00,  1.221913916572308e-01,  5.126232574612549e+00
9           ,  1.540000000000000e+00,  1.359490173758817e+00, -2.078071918813431e-02,  4.006364824494534e+00,  6.250835843209805e-02,  2.195941520004026e-01
12          ,  5.400000000000000e-01,  1.344744703595339e+00, -0.000000000000000e+00,  1.539722192125097e+00,  1.718665764927784e-01, -2.698910962634429e+00
13          ,  4.799999999999998e-01,  6.548320787165790e-01, -5.148801389649574e-02,  2.435484495023184e+00,  2.642413552994321e-01,  3.466191404516334e+00
15          ,  1.600000000000000e+00,  1.917651812816707e+00, -0.000000000000000e+00,  2.808324453988753e+00,  4.960791491201898e-01,  7.325899164480197e-01
16          ,  1.420000000000000e+00,  1.580573676409432e+00, -1.018298950337895e-02,  1.965430253891984e+00,  3.391740212625488e-01, -2.218845193402686e+00
17          ,  1.140000000000000e+00,  1.511781856805447e+00, -1.264906218559275e-02,  2.269614387400615e+00,  4.071266649773007e-01,  5.100322035361966e-01
18          ,  1.920000000000000e+00,  1.770889318915300e+00, -0.000000000000000e+00,  3.294193173593640e+00,  2.151757820181012e-01, -1.333119064104273e+00
19          ,  9.000000000000001e-01,  1.628772126691214e+00, -0.000000000000000e+00,  2.151932140180535e+00,  3.388642001716773e-01, -9.320237382621464e-01
